Taylor Walker,6,276,None,0,Adelaide,Essendon,1,1
Ricky Henderson,1,365,None,0,Adelaide,Essendon,1,1
Richard Douglas,6,488,None,0,Adelaide,Essendon,1,1
Richard Douglas,1,586,None,0,Adelaide,Essendon,1,1
Jason Porplyzia,6,695,None,0,Adelaide,Essendon,1,1
Patrick Dangerfield,1,807,None,0,Adelaide,Essendon,1,1
Jared Petrenko,1,879,None,0,Adelaide,Essendon,1,1
None,0,1087,Michael Hurley,1,Adelaide,Essendon,1,1
None,0,1247,Nick Kommer,1,Adelaide,Essendon,1,1
None,0,1360,Stewart Crameri,1,Adelaide,Essendon,1,1
None,0,1578,Brent Stanton,6,Adelaide,Essendon,1,1
None,0,1785,Stewart Crameri,6,Adelaide,Essendon,1,1
None,0,1849,Ben Howlett,6,Adelaide,Essendon,1,1
Rushed,1,2110,None,0,Adelaide,Essendon,1,1
Ricky Henderson,1,2120,None,0,Adelaide,Essendon,1,1
None,0,2197,Jobe Watson,1,Adelaide,Essendon,1,1
None,0,2316,Tom Bellchambers,6,Adelaide,Essendon,1,1
Graham Johncock,1,2541,None,0,Adelaide,Essendon,1,1
Rushed,1,2577,None,0,Adelaide,Essendon,1,1
Graham Johncock,6,2594,None,0,Adelaide,Essendon,1,1
Sam Jacobs,1,2953,None,0,Adelaide,Essendon,1,1
None,0,3060,Brendon Goddard,6,Adelaide,Essendon,1,1
None,0,3149,Ben Howlett,6,Adelaide,Essendon,1,1
None,0,3283,Michael Hurley,1,Adelaide,Essendon,1,1
None,0,3538,Courtenay Dempsey,6,Adelaide,Essendon,1,1
Rushed,1,3717,None,0,Adelaide,Essendon,1,1
None,0,3827,Alwyn Davey,6,Adelaide,Essendon,1,1
Jared Petrenko,6,3973,None,0,Adelaide,Essendon,1,1
None,0,4178,Alwyn Davey,6,Adelaide,Essendon,1,1
None,0,4256,Ben Howlett,1,Adelaide,Essendon,1,1
None,0,4363,Ben Howlett,6,Adelaide,Essendon,1,1
None,0,4422,Tom Bellchambers,1,Adelaide,Essendon,1,1
Jason Porplyzia,1,4492,None,0,Adelaide,Essendon,1,1
Richard Douglas,6,4555,None,0,Adelaide,Essendon,1,1
Rory Sloane,1,4659,None,0,Adelaide,Essendon,1,1
None,0,4707,Michael Hibberd,6,Adelaide,Essendon,1,1
Josh Jenkins,6,4824,None,0,Adelaide,Essendon,1,1
None,0,4918,Jake Melksham,6,Adelaide,Essendon,1,1
David Mackay,6,4981,None,0,Adelaide,Essendon,1,1
Rushed,1,5097,None,0,Adelaide,Essendon,1,1
Jason Porplyzia,1,5149,None,0,Adelaide,Essendon,1,1
None,0,5251,Alwyn Davey,6,Adelaide,Essendon,1,1
None,0,5543,Heath Hocking,6,Adelaide,Essendon,1,1
Rushed,1,5752,None,0,Adelaide,Essendon,1,1
Nathan van Berlo,6,5816,None,0,Adelaide,Essendon,1,1
None,0,5918,Rushed,1,Adelaide,Essendon,1,1
None,0,6209,David Zaharakis,1,Adelaide,Essendon,1,1
Taylor Walker,6,6283,None,0,Adelaide,Essendon,1,1
None,0,6517,Ben Howlett,6,Adelaide,Essendon,1,1
Taylor Walker,6,6610,None,0,Adelaide,Essendon,1,1
Taylor Walker,1,6784,None,0,Adelaide,Essendon,1,1
None,0,6984,Nick Kommer,6,Adelaide,Essendon,1,1
None,0,7121,Jobe Watson,6,Adelaide,Essendon,1,1
None,0,7201,David Myers,6,Adelaide,Essendon,1,1
None,0,81,Jamie Cripps,6,Fremantle,West Coast,1,2
None,0,245,Mark LeCras,1,Fremantle,West Coast,1,2
None,0,309,Ashton Hams,6,Fremantle,West Coast,1,2
None,0,753,Andrew Gaff,1,Fremantle,West Coast,1,2
None,0,820,Rushed,1,Fremantle,West Coast,1,2
None,0,910,Ashton Hams,6,Fremantle,West Coast,1,2
Nick Suban,6,1073,None,0,Fremantle,West Coast,1,2
None,0,1312,Rushed,1,Fremantle,West Coast,1,2
None,0,1401,Ashton Hams,1,Fremantle,West Coast,1,2
Chris Mayne,6,1725,None,0,Fremantle,West Coast,1,2
None,0,1806,Jack Darling,1,Fremantle,West Coast,1,2
Rushed,1,1912,None,0,Fremantle,West Coast,1,2
Michael Walters,6,2039,None,0,Fremantle,West Coast,1,2
Ryan Crowley,6,2184,None,0,Fremantle,West Coast,1,2
None,0,2370,Mark LeCras,6,Fremantle,West Coast,1,2
