None,0,175,Cyril Rioli,6,Geelong,Hawthorn,Finals,1
Daniel Menzel,6,345,None,0,Geelong,Hawthorn,Finals,1
None,0,451,Lance Franklin,6,Geelong,Hawthorn,Finals,1
None,0,784,Lance Franklin,1,Geelong,Hawthorn,Finals,1
None,0,1011,Lance Franklin,6,Geelong,Hawthorn,Finals,1
Daniel Menzel,6,1115,None,0,Geelong,Hawthorn,Finals,1
None,0,1509,Rushed,1,Geelong,Hawthorn,Finals,1
None,0,1544,Sam Mitchell,1,Geelong,Hawthorn,Finals,1
None,0,1624,Lance Franklin,1,Geelong,Hawthorn,Finals,1
None,0,1671,Luke Hodge,1,Geelong,Hawthorn,Finals,1
Tom Hawkins,6,1760,None,0,Geelong,Hawthorn,Finals,1
Josh Hunt,6,1908,None,0,Geelong,Hawthorn,Finals,1
James Podsiadly,6,2073,None,0,Geelong,Hawthorn,Finals,1
Brad Ottens,1,2406,None,0,Geelong,Hawthorn,Finals,1
None,0,2612,David Hale,1,Geelong,Hawthorn,Finals,1
Steve Johnson,1,2727,None,0,Geelong,Hawthorn,Finals,1
Brad Ottens,6,2888,None,0,Geelong,Hawthorn,Finals,1
Jimmy Bartel,6,3177,None,0,Geelong,Hawthorn,Finals,1
None,0,3397,Luke Hodge,1,Geelong,Hawthorn,Finals,1
None,0,3505,Jordan Lewis,6,Geelong,Hawthorn,Finals,1
None,0,3588,Rushed,1,Geelong,Hawthorn,Finals,1
None,0,3846,Brendan Whitecross,1,Geelong,Hawthorn,Finals,1
None,0,4052,Rushed,1,Geelong,Hawthorn,Finals,1
None,0,4191,Luke Hodge,6,Geelong,Hawthorn,Finals,1
None,0,4294,Luke Hodge,6,Geelong,Hawthorn,Finals,1
James Podsiadly,6,4428,None,0,Geelong,Hawthorn,Finals,1
None,0,4521,Lance Franklin,1,Geelong,Hawthorn,Finals,1
None,0,4566,Isaac Smith,1,Geelong,Hawthorn,Finals,1
Travis Varcoe,1,4906,None,0,Geelong,Hawthorn,Finals,1
James Podsiadly,6,5055,None,0,Geelong,Hawthorn,Finals,1
Tom Hawkins,6,5119,None,0,Geelong,Hawthorn,Finals,1
Steve Johnson,6,5178,None,0,Geelong,Hawthorn,Finals,1
Brad Ottens,6,5323,None,0,Geelong,Hawthorn,Finals,1
None,0,5460,Lance Franklin,6,Geelong,Hawthorn,Finals,1
Rushed,1,5550,None,0,Geelong,Hawthorn,Finals,1
Paul Chapman,1,5585,None,0,Geelong,Hawthorn,Finals,1
James Kelly,1,5612,None,0,Geelong,Hawthorn,Finals,1
None,0,5809,Isaac Smith,1,Geelong,Hawthorn,Finals,1
Steve Johnson,1,5909,None,0,Geelong,Hawthorn,Finals,1
Steve Johnson,1,5960,None,0,Geelong,Hawthorn,Finals,1
None,0,6156,Lance Franklin,6,Geelong,Hawthorn,Finals,1
Allen Christensen,1,6428,None,0,Geelong,Hawthorn,Finals,1
Trent West,6,6551,None,0,Geelong,Hawthorn,Finals,1
Cameron Ling,1,6645,None,0,Geelong,Hawthorn,Finals,1
Rushed,1,6699,None,0,Geelong,Hawthorn,Finals,1
Allen Christensen,1,6864,None,0,Geelong,Hawthorn,Finals,1
Mathew Stokes,6,6890,None,0,Geelong,Hawthorn,Finals,1
Steve Johnson,1,7019,None,0,Geelong,Hawthorn,Finals,1
Mitch Duncan,1,7057,None,0,Geelong,Hawthorn,Finals,1
None,0,7275,Isaac Smith,6,Geelong,Hawthorn,Finals,1
None,0,55,Nic Naitanui,1,Collingwood,West Coast,Finals,2
None,0,531,Josh Kennedy,6,Collingwood,West Coast,Finals,2
None,0,619,Quinten Lynch,6,Collingwood,West Coast,Finals,2
None,0,920,Rushed,1,Collingwood,West Coast,Finals,2
Sharrod Wellingham,6,1079,None,0,Collingwood,West Coast,Finals,2
Scott Pendlebury,1,1283,None,0,Collingwood,West Coast,Finals,2
None,0,1312,Adam Selwood,1,Collingwood,West Coast,Finals,2
None,0,1832,Matt Priddis,6,Collingwood,West Coast,Finals,2
Sharrod Wellingham,6,1952,None,0,Collingwood,West Coast,Finals,2
Leigh Brown,6,2099,None,0,Collingwood,West Coast,Finals,2
Tyson Goldsack,1,2161,None,0,Collingwood,West Coast,Finals,2
